,BTC,BTC,BTC,BTC,LTC,LTC,LTC,LTC,DASH,DASH,DASH,DASH,XRP,XRP,XRP,XRP,XMR,XMR,XMR,XMR,ETH,ETH,ETH,ETH,ETC,ETC,ETC,ETC,XLM,XLM,XLM,XLM,LSK,LSK,LSK,LSK,XEM,XEM,XEM,XEM
,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open,close,high,low,open
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-29,2558.37,2605.86,2526.51,2577.74,40.13,41.94,39.45,41.89,172.13,181.59,171.74,179.62,0.2561,0.2693,0.2513,0.2686,44.42,47.75,44.19,47.1,292.9,322.28,285.89,315.86,17.75,18.92,17.58,18.73,0.02834,0.03254,0.02784,0.03149,2.84,3.02,2.71,2.8,0.1587,0.1754,0.1554,0.1692
2017-06-30,2480.61,2576.28,2469.54,2558.37,39.48,41.22,39.29,40.13,173.7,179.39,171.41,172.13,0.2466,0.2596,0.245,0.2561,43.23,45.49,42.57,44.42,280.68,305.3,270.43,292.9,17.4,18.56,17.01,17.75,0.02637,0.02905,0.02635,0.02834,2.59,3.0,2.5,2.84,0.1559,0.1665,0.155,0.1587
2017-07-01,2424.61,2529.62,2387.47,2480.61,38.08,39.7,37.12,39.48,162.01,177.54,159.0,173.7,0.2386,0.2518,0.2337,0.2466,40.06,43.57,38.87,43.23,261.0,281.81,253.18,280.68,16.5,17.55,15.86,17.4,0.02394,0.02707,0.02238,0.02637,2.47,2.67,2.31,2.59,0.1415,0.1583,0.138,0.1559
2017-07-02,2536.46,2555.34,2375.86,2424.61,41.26,41.65,36.87,38.08,169.78,171.37,159.11,162.01,0.2537,0.2547,0.233,0.2386,42.2,42.72,39.2,40.06,283.99,293.3,254.19,261.0,17.44,17.59,15.95,16.5,0.02523,0.0254,0.0217,0.02394,2.56,2.67,2.21,2.47,0.1561,0.1568,0.1394,0.1415
2017-07-03,2572.47,2617.48,2506.3,2536.46,45.34,47.56,40.36,41.26,178.55,181.05,166.42,169.78,0.2523,0.2567,0.2445,0.2537,43.72,44.17,40.81,42.2,276.41,284.31,272.64,283.99,17.19,17.91,16.82,17.44,0.02605,0.02694,0.02411,0.02523,2.42,2.66,2.29,2.56,0.1735,0.1781,0.1516,0.1561
2017-07-04,2617.32,2658.73,2569.99,2572.47,54.51,54.82,45.34,45.34,181.4,186.35,176.96,178.55,0.2473,0.2581,0.2471,0.2523,45.19,45.72,43.43,43.72,269.05,282.32,265.21,276.41,17.4,18.16,17.11,17.19,0.02579,0.02801,0.02526,0.02605,2.59,2.69,2.32,2.42,0.187,0.195,0.1629,0.1735
2017-07-05,2627.86,2642.74,2562.04,2617.32,52.92,56.58,49.11,54.51,204.92,209.24,178.02,181.4,0.252,0.2563,0.2434,0.2473,45.82,46.66,44.28,45.19,266.0,274.03,253.7,269.05,17.34,17.58,16.82,17.4,0.02558,0.02589,0.02426,0.02579,2.49,2.64,2.37,2.59,0.1736,0.1871,0.17,0.187
2017-07-06,2614.24,2634.84,2581.8,2627.86,51.04,52.98,49.79,52.92,207.71,222.0,198.19,204.92,0.2506,0.2528,0.2482,0.252,49.94,50.16,45.81,45.82,265.88,274.55,261.57,266.0,17.56,17.76,17.0,17.34,0.0253,0.0262,0.025,0.02558,2.68,2.79,2.44,2.49,0.1704,0.1781,0.1628,0.1736
2017-07-07,2513.88,2617.48,2484.73,2614.24,46.1,51.18,44.47,51.04,190.59,208.33,185.47,207.71,0.2303,0.2516,0.2298,0.2506,44.07,50.66,43.51,49.94,240.94,266.25,236.16,265.88,16.08,17.7,15.61,17.56,0.0203,0.02565,0.01969,0.0253,2.42,2.68,2.42,2.68,0.1561,0.1722,0.1506,0.1704
2017-07-08,2564.86,2568.73,2480.62,2513.88,51.22,52.11,44.33,46.1,208.1,208.48,175.66,190.59,0.23,0.2321,0.2112,0.2303,45.9,46.02,41.79,44.07,245.67,248.35,230.96,240.94,16.28,16.38,14.5,16.08,0.02156,0.02182,0.01716,0.0203,2.39,2.46,2.2,2.42,0.1578,0.1648,0.146,0.1561
2017-07-09,2511.43,2576.73,2509.65,2564.86,48.63,52.4,48.32,51.22,195.49,209.98,195.24,208.1,0.2261,0.2422,0.2259,0.23,44.56,46.97,44.22,45.9,237.72,251.79,236.59,245.67,15.56,16.8,15.56,16.28,0.01923,0.02248,0.01923,0.02156,2.11,2.46,2.02,2.39,0.1521,0.1611,0.1506,0.1578
